,pseudobulk_0,pseudobulk_1,pseudobulk_2,pseudobulk_3,pseudobulk_4,pseudobulk_5,pseudobulk_6,pseudobulk_7,pseudobulk_8,pseudobulk_9,pseudobulk_10,pseudobulk_11,pseudobulk_12,pseudobulk_13,pseudobulk_14,pseudobulk_15,pseudobulk_16,pseudobulk_17,pseudobulk_18,pseudobulk_19,pseudobulk_20,pseudobulk_21,pseudobulk_22,pseudobulk_23,pseudobulk_24,pseudobulk_25,pseudobulk_26,pseudobulk_27,pseudobulk_28,pseudobulk_29,pseudobulk_30,pseudobulk_31,pseudobulk_32,pseudobulk_33,pseudobulk_34,pseudobulk_35,pseudobulk_36,pseudobulk_37,pseudobulk_38,pseudobulk_39,pseudobulk_40,pseudobulk_41,pseudobulk_42,pseudobulk_43,pseudobulk_44,pseudobulk_45,pseudobulk_46,pseudobulk_47,pseudobulk_48,pseudobulk_49,pseudobulk_50,pseudobulk_51,pseudobulk_52,pseudobulk_53,pseudobulk_54,pseudobulk_55,pseudobulk_56,pseudobulk_57,pseudobulk_58,pseudobulk_59,pseudobulk_60,pseudobulk_61,pseudobulk_62,pseudobulk_63,pseudobulk_64,pseudobulk_65,pseudobulk_66,pseudobulk_67,pseudobulk_68,pseudobulk_69,pseudobulk_70,pseudobulk_71,pseudobulk_72,pseudobulk_73,pseudobulk_74,pseudobulk_75,pseudobulk_76,pseudobulk_77,pseudobulk_78,pseudobulk_79,pseudobulk_80,pseudobulk_81,pseudobulk_82,pseudobulk_83,pseudobulk_84,pseudobulk_85,pseudobulk_86,pseudobulk_87,pseudobulk_88,pseudobulk_89,pseudobulk_90,pseudobulk_91,pseudobulk_92,pseudobulk_93,pseudobulk_94,pseudobulk_95,pseudobulk_96,pseudobulk_97,pseudobulk_98,pseudobulk_99
Ebox/CATATG:bHLH,0.0644681136473082,0.05575484590372071,0.08382452698424459,0.05616899055894464,0.05670814594486728,0.05771069775801152,0.06368108064634725,0.05632013361901045,0.04721189776319079,0.0715016292524524,0.029629800133989193,0.06579217949183658,0.07321749866241589,0.07659607252571732,0.059386215230915695,0.06504034966928884,0.06135279516456649,0.049689062871038914,0.06912729516625404,0.06607377773616463,0.05573915928835049,0.05829530622577295,0.07378286475432105,0.048659704509191215,0.059006071533076465,0.05769888072973117,0.0632321938755922,0.06376394495600834,0.06389686011243612,0.06279956956859678,0.060890480322996154,0.05041825459920801,0.0479817820887547,0.05843275017105043,0.05196372221689671,0.05812544369837269,0.05589108413551003,0.058031769178342074,0.05765635671559721,0.07939234934747219,0.07630970294121653,0.04416426157695241,0.05329475097823888,0.06730040983529761,0.06333087210077792,0.06931995652848855,0.07191812340170145,0.06564916693605483,0.0618135534459725,0.053840052627492696,0.06506219727452844,0.058056347246747464,0.07445696182549,0.05591747135622427,0.06916290568187833,0.07480854960158467,0.06484765111235902,0.057004305301234126,0.06511809845687822,0.05545176600571722,0.05950011871755123,0.05810265592299402,0.06903128541307524,0.06546589254867285,0.05708266072906554,0.0717710206808988,0.045910453249234706,0.054890989151317626,0.07288295537000522,0.056105617550201714,0.07088631630176678,0.057603309280239046,0.06413753260858357,0.06496472278377041,0.05592368094949052,0.0632884104270488,0.05722680507460609,0.048386561509687454,0.06961033999687061,0.061705447849817574,0.06737409037305042,0.056166638736613095,0.05965263082180172,0.07565303868614137,0.06771980272606015,0.06690199673175812,0.06481242761947215,0.060770281648728997,0.07453396683558822,0.06998139363713562,0.0666102902032435,0.05678735236870125,0.07298120425548404,0.05947455106070265,0.07093083852669224,0.06165783613687381,0.05763654055772349,0.06329727760748938,0.06752152257831767,0.07221767003647983
MEF2:MADS,0.21392014203593135,0.19520083290990442,0.210100382915698,0.19519950880203396,0.20722618186846375,0.176629975263495,0.1862675357842818,0.1652586444397457,0.19014452828560024,0.21431881038006395,0.16419871023390442,0.18135528615675867,0.2479012431576848,0.2025984381325543,0.1993784321239218,0.21540788665879518,0.22012413828633726,0.1792735445778817,0.21280962997116148,0.1892706227954477,0.18317482364363968,0.1958794022211805,0.20343302062246948,0.17794409551424906,0.18217481870669872,0.1759421630995348,0.2295296349329874,0.187435221276246,0.21070626250002533,0.19250815431587398,0.20390938769560307,0.20320318278390914,0.1898943877313286,0.22425874433247373,0.19171426014509052,0.23204846470616758,0.18422238831408322,0.18347753077978268,0.1755260027712211,0.2300907880999148,0.22630029602441937,0.1684371456503868,0.19246461323928088,0.2144545796327293,0.17182241997215897,0.25572096288669854,0.21475944539997727,0.19851011142600328,0.20311174064408988,0.16772280854638666,0.2110936043318361,0.20432308863382787,0.1837076124502346,0.19995833630673587,0.20666636212263256,0.19460188131779432,0.1991463383892551,0.19334163493476808,0.20390150684397668,0.20551400887779891,0.1737995222210884,0.19189981697127223,0.20061056275153533,0.18682542047463357,0.21499954408500344,0.1903907754458487,0.18331741343718022,0.18204123951727524,0.18810118036344647,0.18895412713754922,0.2147917425027117,0.168983559939079,0.19767477840650827,0.20536629983689636,0.18416674598120153,0.20944961858913302,0.20856958511285484,0.18142480647657067,0.2241518251830712,0.21390245406655595,0.17725670925574377,0.1817405562615022,0.19482707465067506,0.20536946272477508,0.21813348995056003,0.211196034331806,0.22004156466573477,0.17343217541929334,0.19780854356940836,0.22818384802667424,0.2058338492643088,0.17547497851774096,0.20653266657609493,0.1855969262542203,0.23379038367420435,0.18348121002782136,0.18945071275811642,0.21225556335411966,0.21214038343168795,0.2238776603480801
CREB/ATF/1:bZIP,0.09557614825462224,0.10919719776575221,0.11016040735376009,0.10583418667738442,0.09830449353466975,0.07932426345723798,0.08426106815022649,0.0855039056023088,0.08435842343169497,0.1137347031981335,0.09552238491960452,0.0948711413257115,0.09980254321999382,0.08946628909689025,0.10966208647732856,0.0980556640715804,0.10554516399133718,0.07427332163751998,0.10300280617593671,0.09360114621813409,0.10061068337381585,0.08752254978935525,0.10361576859941124,0.08825480471386982,0.08029407456160698,0.0761366799561074,0.10856500976296957,0.08438887584634358,0.1022530248574185,0.1068318194738822,0.09812744597184064,0.08640645963168936,0.09399872394351405,0.11025606462862925,0.06951430211120169,0.11333265853318153,0.08305911977731739,0.08675127954302297,0.0781741217324452,0.10478799876000267,0.08528692157415207,0.0961658013111446,0.09530531937161868,0.10467459862411488,0.0772056927162339,0.11377359945254284,0.0997570106992498,0.08984229886846151,0.10444552099579596,0.07568580430597649,0.08471242622545105,0.1036378905937454,0.07498121428761806,0.0989776242422522,0.09704059779869567,0.08622119227584335,0.09404528945560742,0.08797646454695496,0.10369716641434934,0.09728616706343018,0.10445827014700626,0.0985837315020035,0.07671134903830534,0.08636907308573427,0.07795822015759768,0.0913366648783267,0.09386179826196894,0.08884530982322758,0.08515945281033055,0.0750567828235944,0.09665617088285217,0.06940491950081196,0.0864047978175222,0.09890354235176346,0.09671864788106177,0.09825777701917104,0.09739032888683141,0.08864761295444623,0.10735552307232865,0.10800564186138217,0.07790619267507282,0.07652132214934682,0.07734098454966443,0.082521364238346,0.09609735943740816,0.10344398456436465,0.09152689626353094,0.08658064067640225,0.08910479857695464,0.11197438823364791,0.10987684105566586,0.09844289192187716,0.09354685109792626,0.08644708886140506,0.08763255333542475,0.07643204576743301,0.10129763635632116,0.1127369591522438,0.09032278725680953,0.11247184550302336
RFX/2:RFX,0.02028210140997544,0.020055611501447856,0.022550084453541785,0.0196792250208091,0.020824694162001833,0.02363584330305457,0.021184706332860515,0.019453752785921097,0.02027862408431247,0.021830090874573216,0.020819137222133577,0.02186645069741644,0.023112962604500353,0.022196212987182662,0.021150822285562754,0.02088906313292682,0.021334378892788664,0.020645473967306316,0.0228162553103175,0.020492202078457922,0.021016670623794198,0.02156322667724453,0.023256713000591844,0.022810240712715313,0.02242102613672614,0.02186065577552654,0.020386695046909153,0.022075235057855025,0.02382431793375872,0.01954971725353971,0.022124620736576617,0.024581378500442952,0.021767157362774014,0.021792238781927153,0.022177973383804783,0.021517329441849142,0.021563767571933568,0.019778380170464516,0.020356476627057418,0.02340328274294734,0.02048075050697662,0.020810856338357553,0.019155979447532445,0.022322301316307858,0.021032332500908524,0.022266702610068023,0.020973479986423627,0.023125650826841593,0.02107838651863858,0.018400764471152797,0.02308831427944824,0.02312775928294286,0.021243357885396108,0.02161310290102847,0.024533446674467996,0.0209726536704693,0.019440839270828292,0.02067919756518677,0.01942766079446301,0.01973635476315394,0.019847913295961916,0.02163678692886606,0.02240161906229332,0.02202232161653228,0.02421372995013371,0.021372435527155176,0.02090673305792734,0.02176008647074923,0.021034353092545643,0.018420962704112753,0.02169460302684456,0.022588618157897145,0.023423830280080438,0.022758255450753495,0.019829928496619686,0.022071177896577865,0.02115915992180817,0.022637982649030164,0.022171550255734473,0.021926236717263237,0.019246282405219972,0.023174254019977525,0.020117110892897472,0.02265349996741861,0.02181645855307579,0.02044888978707604,0.0215815091796685,0.020915572851663455,0.021584413800155744,0.023678918281802908,0.023813552543288097,0.019646755215944722,0.022505911445477977,0.019206294877221808,0.023060840932885185,0.022929667524294928,0.019632944429758936,0.021013118122937158,0.023296874802326784,0.02235712538822554
EGR:C2H2,0.09460550676158164,0.0817083665606333,0.10888374137721257,0.09432121572172036,0.09795786653558025,0.08399555152573157,0.0827105507523811,0.08627567839357653,0.08308389767626068,0.099395066514262,0.0760341695859097,0.09255452822253574,0.0886414375709137,0.08976299297137302,0.09590708409814397,0.08730224677128717,0.0996982453216333,0.07506406892935047,0.0980559110030299,0.08923682702879887,0.09886676953465212,0.08853828273640829,0.1060443198584835,0.07955465350823943,0.09249788020315464,0.0917549747209705,0.09048263930799294,0.08745958242434426,0.09733790691825561,0.08779511236571125,0.08720029691176023,0.08494854058335477,0.08682964884792455,0.09128795889409957,0.08932152220222633,0.09666578301403206,0.08910179857412004,0.08453764393925667,0.08441771364960005,0.10275050078053027,0.08908503154088976,0.09175673010759056,0.0896040564730356,0.09515571515657939,0.08851119354221737,0.09365518621780211,0.09859963949566009,0.0956870274094399,0.0966247440665029,0.0802178737721988,0.09804533596616238,0.08362063537424547,0.08535904577001929,0.0930455205088947,0.09925516766816145,0.08647459310304839,0.08612192339205649,0.07904363121178903,0.08888739532267209,0.09391544589016121,0.0916861717341817,0.09806792026211042,0.09706485466449521,0.09334535011294065,0.08580145832820563,0.09612469688727288,0.10617560313403374,0.08994911970512476,0.08647715605184203,0.08129910387651762,0.09169295398532995,0.08070317871170118,0.09111946620760136,0.09648577259940794,0.09575753733224701,0.09135472933849087,0.0917329055519076,0.09381364412547555,0.10229126528429333,0.10039667749515502,0.08638684060861124,0.09563222737051547,0.08145054255510331,0.0954611384877353,0.09571117483574199,0.09139533271809341,0.08583437704510288,0.09261364099074854,0.0918089029728435,0.09351544085802743,0.09527922950292123,0.09105984060443006,0.09922886601998471,0.0894456299029116,0.0902654704041197,0.08578632000717334,0.08146313692850526,0.08477483097522054,0.09761908477958059,0.09720702055346919
ETS/2:ETS,0.014882530066188338,0.01464617012038616,0.014679301601063344,0.014869390165586083,0.014653082920631277,0.013760101535808644,0.014492860108475725,0.015713000777623165,0.013378412005749851,0.015913294656229482,0.011294702313193739,0.01424459405802736,0.014082665333546629,0.015765221267201923,0.014554217249042267,0.01406992479866176,0.015073300303356518,0.015280138013665123,0.014071657727413367,0.012431514661329857,0.013045345987393375,0.014289100880887418,0.013957534364521962,0.012468176529182529,0.012987376586011123,0.01374192970926913,0.01616609194661578,0.014727492776501094,0.014534873098455137,0.014947670048968575,0.012979578463728103,0.01449787000649394,0.014234334314437547,0.014371799041782651,0.01387915593602429,0.01417806187100723,0.014721480291882472,0.013418520169580006,0.013049187540673302,0.014034708993449385,0.015241972709475249,0.015424039539084333,0.01578510646027098,0.013886272028912572,0.016628057880780034,0.015661610448660213,0.013286388456890563,0.015019146278064,0.014718196841158715,0.014194496614095442,0.014493270753177967,0.01397143755889374,0.01377885032661652,0.01594625394193372,0.013468403093497727,0.014986898595680032,0.01473184880660483,0.01408421824908146,0.013841442981004093,0.0145800194018193,0.012752226397878985,0.01414760961824868,0.015208102615360986,0.014580909935432373,0.015078152079354368,0.01357125224558331,0.012501701560722722,0.015864957285430137,0.016210686782869743,0.013661291616472226,0.01388341891242817,0.015007451349106304,0.013863014104572358,0.014999219675019049,0.014259741217983901,0.014577249152580407,0.014152331588320521,0.01409780419191975,0.01723964407949552,0.014552496882515698,0.014240676868212176,0.015113270151232427,0.013672585741517196,0.015017133508536062,0.013321266977300183,0.014012345419359917,0.015316666856278971,0.013692140177454348,0.014841143022522374,0.014050426628500645,0.015112831636542978,0.016291875233491737,0.014060801927371358,0.013501763412932632,0.014788982988193311,0.015413562992080188,0.013966876185577348,0.012959723785115784,0.014594290885042938,0.013452722638248815
KLF/SP/2:C2H2,0.1574142930946918,0.14035866058112578,0.1755881202856251,0.14968004969875892,0.15276419755824122,0.14306163350279633,0.15196804828440236,0.12962490202975196,0.13670394881827974,0.15535151602871622,0.13102501806574196,0.15110981054128914,0.1486939499175861,0.1533760408826268,0.15244315134541342,0.14559140619451227,0.1616140329008715,0.12982224900845551,0.14837524978368677,0.1463287787008909,0.15602515045941345,0.1471063036190543,0.17497520408937817,0.13800524506861223,0.1525674089159743,0.15230380124295095,0.15545303271334188,0.1457652966282268,0.15760720496197345,0.14579282065830768,0.13500378169093352,0.13519576823390977,0.1465685177224998,0.15069062126304544,0.15087849984288937,0.15814473364679316,0.1405964031569482,0.14099907725710636,0.1404710234436557,0.1627373206271301,0.1540879728437936,0.15112640732540683,0.14811007066690962,0.151472796166928,0.15263187416715596,0.15837008380904294,0.16030586813674574,0.1567229405959054,0.1510864525477409,0.12830818796572885,0.15664165555646647,0.13913511770721243,0.14919074866840276,0.15088438051092368,0.1701339683795169,0.15365445023774527,0.1441460671064192,0.1317824753418,0.1501346464027815,0.15271289199992566,0.1435077116991863,0.15580444887392275,0.15482797665048764,0.14685119474881958,0.1416147553024274,0.15346038864071687,0.1670030995896008,0.1451408688719411,0.14748287140326433,0.1367156628592312,0.14381972411250388,0.14209474260350774,0.15151596413999613,0.15713949595330992,0.154905572525891,0.14601600778373935,0.14515840806497948,0.15437276994663307,0.1673902915071892,0.15958645313065745,0.13777050003627522,0.14532426484210248,0.14115410328707156,0.15079826927430062,0.15689877005423725,0.15338423103730747,0.1465375038779726,0.15369269798775065,0.14970125283267421,0.1615775774307231,0.1598995357889592,0.14633245910309256,0.15419196171155392,0.14410685376656573,0.15221290119022512,0.14078836334899236,0.13795482789175395,0.14932173466861798,0.15342038356786958,0.15936499149071182
GC-tract:C2H2,0.005937390304097789,0.006413689257897204,0.006823314713074069,0.00654210986704129,0.006403330314697087,0.005919520206589368,0.005398011822762783,0.006640013375545095,0.006621810135584383,0.006224962718988536,0.006899227749272541,0.00633264725911431,0.005511167470103828,0.006597039651751402,0.006467409770266386,0.005477196827996522,0.005232472561147006,0.005414089268015232,0.005917615562793799,0.00693704026616615,0.006505767683165686,0.005470034210702579,0.006945929322682787,0.006240462475034292,0.005820423441946332,0.0057900280498870416,0.005887686564165051,0.006115087006037356,0.006984517635828524,0.0063858824773888045,0.005609146858432723,0.005650939967722479,0.00673392385670013,0.005666074196597037,0.007007743281974399,0.005571070207906814,0.006608800686422001,0.006433695425130281,0.006468165387559566,0.006488079191512952,0.006478575600340264,0.007197205809546858,0.005966036040263134,0.0062342287274077535,0.0051699592378327,0.005983133563404408,0.006444433413889783,0.005740502464504971,0.006783225514482183,0.006557245584872362,0.005771036186160927,0.006516162188290764,0.006164240022371814,0.0060159878794365795,0.00647418522839871,0.005693562994565582,0.005940498714153364,0.006040997574018547,0.006250577294395043,0.00633232969630626,0.006388991982930747,0.004989147873857291,0.006687014509225264,0.006339207004202763,0.006234843230686238,0.006770232435314938,0.006213671720615821,0.0063521411111651105,0.005633688006128068,0.006601794697417063,0.0055174016304135876,0.0055246880324375525,0.006640076207986567,0.006694061538837559,0.00599293890422814,0.006200316027388908,0.005577174034215204,0.006620068871370677,0.006960866575354885,0.007089281530056724,0.006660466839093715,0.007380136886013133,0.005821518017910421,0.006250521200854564,0.0066260246542242385,0.006209438569840131,0.0061384140217342065,0.007155117518777843,0.006879255630337866,0.0065787707532081185,0.00682029173913179,0.006852162987684096,0.005831284327086905,0.005052285296869741,0.0060188934085090295,0.006888118189635861,0.006738311273693398,0.006263498157750291,0.005746128495957237,0.0068587660208550005
CCAAT/CEBP:bZIP,0.03041556937387213,0.029008376703131944,0.03194842848461121,0.029266522033140063,0.029105242691002786,0.03110305778682232,0.032122839940711856,0.029758153250440955,0.029636055580340326,0.03044249111553654,0.025621090491767973,0.025392227340489626,0.029624491813592613,0.03107097907923162,0.029178530618082732,0.02871357643743977,0.03041019308147952,0.026592845155391842,0.030602493323385715,0.030436367029324174,0.02876624232158065,0.027336312632542104,0.02795630443142727,0.030620344390626997,0.0307797163259238,0.029127858229912817,0.032412301341537386,0.03136718668974936,0.03283490688772872,0.026452655001776293,0.02891060255933553,0.02949799399357289,0.02917673156480305,0.029819842777214944,0.03228341444628313,0.032041275058873,0.030609340930823237,0.025334111269330606,0.025450013985391706,0.029248743609059602,0.03380200517131016,0.026818541635293514,0.027387802489101887,0.032429553335532546,0.028424866672139615,0.033712530392222106,0.03327769285533577,0.031603956245817244,0.030004002328496426,0.028480024309828877,0.029755733150523156,0.03098361531738192,0.030905453662853688,0.03302630630787462,0.028197915758937597,0.029744641506113112,0.03275828046025708,0.027909630327485502,0.027769481763243675,0.02849336783401668,0.026940092560835183,0.030136854737065732,0.031875549524556845,0.031239367206580937,0.030909077438991517,0.026472206169273704,0.027747818443458527,0.027611431141849607,0.02708345535211265,0.02986992971273139,0.03346447565127164,0.0286973676411435,0.030402974924072623,0.02811905779526569,0.028891642403323203,0.02941548405215144,0.029776408220641315,0.02634163777111098,0.03459652856690809,0.03171812032815069,0.03125415899557993,0.02669472509296611,0.027682046056725085,0.028118792979512364,0.029725954111199826,0.029566177923697978,0.02878550346940756,0.03189015865791589,0.025126715889200568,0.030075017653871328,0.0354310087277554,0.02577306143939495,0.03343346616020426,0.03192478872369975,0.030849337752442807,0.02874769683694467,0.029906073643360287,0.029082196939270943,0.03387042926624417,0.027587658958509564
GLI:C2H2,0.002111111069098115,0.0018834780203178525,0.00194061707588844,0.0021204559598118067,0.0022553000890184194,0.0019326551700942218,0.0021842066780664027,0.0021656857279594988,0.002108663582475856,0.0025785652978811413,0.001401509071001783,0.0024869633780326694,0.002738137583946809,0.002235512569313869,0.002799834619509056,0.002162700839107856,0.0019187029683962464,0.0016651600890327245,0.002048755733994767,0.0022352907981257886,0.0023434196482412517,0.002413446578430012,0.0021552980470005423,0.001767796406056732,0.0014996755053289235,0.0016999251383822411,0.002880286396248266,0.00149371029692702,0.0025215954519808292,0.0016538577328901738,0.0018275721522513777,0.0016726422472856939,0.0019677213858813047,0.0021505534241441637,0.0020538749522529542,0.0022830942180007696,0.00196696535567753,0.0022347147460095584,0.0030092679080553353,0.0028618124197237194,0.0022540873324032873,0.0023254871484823525,0.0022740846616216004,0.0024210084520746022,0.0019133848836645484,0.0028463504277169704,0.0026698787114582956,0.0028837690188083798,0.0028286274464335293,0.0017003206594381481,0.0025156984920613468,0.0020263261103536934,0.0019467843230813742,0.00204836338525638,0.0016136264603119344,0.0015334213676396757,0.0015174848376773298,0.0020637372217606753,0.002643561252625659,0.0018190690025221556,0.0019313267548568547,0.0015529524243902415,0.0021172933047637343,0.002132599358446896,0.001982732879696414,0.0010397045407444239,0.0020083436102140695,0.0022430465323850513,0.001519377517979592,0.002413441543467343,0.0016625048883724958,0.0026526805013418198,0.0018877768889069557,0.0027179726166650653,0.0015324844571296126,0.0017232976097147912,0.0017845255497377366,0.001679606590187177,0.00217850087210536,0.002972099435282871,0.001794273208361119,0.0017112908244598657,0.002357445890083909,0.0017496949876658618,0.002892796677770093,0.002211206592619419,0.002151623775716871,0.0021576323197223246,0.001857051276601851,0.003093424078542739,0.001847237697802484,0.0021481159783434123,0.0019489590777084231,0.0021538410801440477,0.0026331618428230286,0.0015779541863594204,0.0022408564982470125,0.002631530980579555,0.002173545479308814,0.00271634483942762
